<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `f_l_ay_t `b_ae_g </s>	フライトバッグ	フライトバッグ
<s> `t_eh_l `s_t_aa_r </s>	テルスター	テルスター
<s> `s_ey `ch_eh_l_z </s>	セイシェル	サイシェル
<s> `m_iy_l </s>	ミール	ミール
<s> `f_ae_n s_iy `s_t_ao_r </s>	ファンシーストア	ファンシーストア
<s> `t_eh r_iy er </s>	テリア	テリア
<s> `m_ow_l </s>	モル	モル
<s> `m_eh th_ih `l_iy_n </s>	メチレン	メチレン
<s> `sh_ah f_ax_l </s>	シャッフル	シャル
<s> `s_ay_n `ao_f </s>	サインオフ	サインオフ
<s> `d_ih_g n_ax t_iy </s>	ディグニティ	ディグニティー
<s> `p_er s_ax_n `k_ao_l </s>	パーソンコール	パーソンコール
<s> `n_ao_r_th `b_r_ih_jh </s>	ノースブリッジ	ノースブリッジ
<s> `ih_n t_r_ax `d_ah_k sh_ax_n </s>	イントロダクション	イントロダクション
<s> `f_r_ey_m `w_er_k </s>	フレームワーク	フレームワーク
<s> `z_eh r_ax g_r_ax f_iy </s>	ゼログラフィー	ゼラグラフィー
<s> `s_m_uw_dh `hh_ae m_er `hh_eh_d </s>	スムーズハンマーヘッド	スムーズハマヘッド
<s> s_ih `k_y_uh r_ax t_iy `k_aa_n t_eh_k_s_t </s>	セキュリティコンテキスト	シクリティコンテキスト
<s> `p_r_ih_n t_er `eh_n jh_ax_n </s>	プリンタエンジン	プリンタレンジン
<s> `hh_eh_d `k_w_ao_r t_er_z </s>	ヘッドクォーター	ヘッドクォーター
<s> n_ax `n_aa_m t_er </s>	ナノメートル	ナノメートル
<s> `ay_l </s>	ヴァージンロード	ヴァージンロード
<s> s_aa_l `v_aa_r s_ax_n </s>	サルバルサン	サルバルサン
<s> `n_oy z_iy </s>	ノイジー	ノイジー
<s> `b_eh `r_ay `b_eh r_iy </s>	ベリベリ	ベリベリ
<s> `s_w_ih m_ih_ng </s>	スイミング	スイミング
<s> `r_aw_n_d, `b_aa t_ax_m l_ax_s `m_ow_l_d </s>	セルクル	ボトムレス
<s> `s_ay k_ax `l_aa jh_ih k_ax_l </s>	サイコロジカル	サイコロジカル
<s> `d_ay_m th_ih l_ax `m_iy_n </s>	ジメチルアミン	ジメチリミン
<s> `s_p_ow k_ax_n `t_ay t_ax_l </s>	スポークンタイトル	スポークンタイトル
<s> `l_ow `k_ih_k </s>	ローキック	ローキック
<s> p_r_ax `m_iy th_iy ax_m </s>	プロメチウム	プロメチウム
<s> `p_ae_ng g_r_ax_m </s>	パングラム	パングラム
<s> s_ax_b `d_ow m_ax n_ax_n_t </s>	サブドミナント	サブドミナント
<s> `p_iy_k `s_eh_l `r_ey_t </s>	ピークセルレート	ピークセルレート
<s> `r_ey `p_eh l_ax_t </s>	リペレット	ラパレット
<s> f_l_ax `m_eh_ng `k_ow g_ih `t_aa_r </s>	フラメンコギター	フラメンコギター
<s> `t_ay_m `t_r_ay ax_l `r_ow_d `r_ey_s </s>	タイムトライアルロードレース	タイムトライアルロードレース
<s> ih `l_iy g_ax_l `k_aa p_iy ih_ng `ah_v `s_ao_f `t_w_eh_r, r_ax `k_ao_r d_ax_d `m_y_uw z_ih_k, `eh_t `s_eh t_er ax </s>	カジュアルコピー	エリルコピーリングオフソリコドミューレットセルア
<s> `g_r_ey `y_uw n_ih `k_ao_r_n `f_ih_sh </s>	グレーユニコーンフィッシュ	グレーユーニコーンフィッシュ
<s> `t_r_ay k_ax l_er </s>	トリコロール	トライコラー
<s> `m_ae s_k_ih_ng </s>	マスキング	マスキング
<s> m_ax `sh_iy_n `l_ay_k </s>	マシンライク	マシンライク
<s> `t_ae m_er ih_n_d </s>	タマリンド	タマリンド
<s> `jh_ah_ng_k `b_aa_n_d </s>	ジャンクボンド	ジャンクボンド
<s> `ah_n d_er `b_ah_s_t </s>	アンダーバスト	アンダーバスト
<s> `s_ih_l_t </s>	シルト	シルト
<s> `k_ao_r_n `s_uw_p </s>	コーンスープ	コーンスープ
<s> `m_ay `k_r_ow `ch_ih_p </s>	マイクロチップ	マイクロチップ
<s> `s_ey l_er `k_aa l_er </s>	セーラーカラー	サラコラー
<s> `hh_aa_t l_ax_s_t </s>	ホットリスト	ホットリスト
<s> `f_uw_d `b_ae_ng_k </s>	フードバンク	フードバンク
<s> `b_ae_ch `s_ay_z </s>	バッチサイズ	バッチサイズ
<s> `ow `s-iy `eh-n </s>	オーシーエヌ	オーシーエヌ
<s> `p_r_ow_b </s>	プローブ	プローブ
<s> k_ax_m `p_ae n_y_ax_n `p_l_ae_n_t </s>	コンパニオンプランツ	コンパニオンプラント
<s> `v-iy `eh-m `eh-s </s>	ブイエムエス	ブイエムエス
<s> `r_ae l_ax_n `t_ae_n d_ow </s>	ラレンタンド	ラリンタンド
<s> `s_t_ey_t l_ax_s </s>	ステートレス	ステートレス
<s> `d_r_eh_s `s_uw_t </s>	ドレススーツ	ドレススーツ
<s> `p_ah b_l_ih_k `aa_r_t </s>	パブリックアート	パブリックアート
<s> `m_ey_n `k_iy </s>	メインキー	メインキー
<s> `k_aa f_iy `sh_aa_p </s>	コーヒーショップ	コヒーショップ
<s> `b_ah_l_k `s_ey_l </s>	バルクセール	バルクセール
<s> `m_ah_l t_iy `t_ah_ch </s>	マルチタッチ	マルチタッチ
<s> `m_ey_n `s_t_ae_n_d </s>	メインスタンド	メインスタンド
<s> `ow v_ax_l </s>	オーバル	オーバル
<s> `m_ae d_r_ax_s `ch_eh_k </s>	マドラスチェック	マドラスチェック
<s> `s_ih m_ax_l `k_ae_s_t </s>	サイマルキャスト	シマルキャスト
<s> `th_ao_t </s>	パンセ	パンセ
<s> `y-uw `ay </s>	ユーアイ	ユーアイ
<s> `g_r_iy k_ih_ng </s>	グリーキング	リーキング
<s> `m_ih n_ax s_t_er </s>	ミニスター	ミニスター
<s> `m_aa_r k_ax_t `p_r_ay_s </s>	マーケットプライス	マーケットプライス
<s> `v_ow k_ax_l `s_ow `l_ow </s>	ボーカルソロ	ボーカルソーロー
<s> `r_eh s_k_y_uw </s>	レスキュー	レスキュー
<s> `s_t_r_iy `t_w_ao k_er </s>	ストリートウォーカー	ストリートウォーカー
<s> `f_ah_n_t </s>	フント	フント
<s> r_ax `s_eh_t </s>	ロゼット	リセット
<s> `s_t_r_ih `p_l_ay_t </s>	ストリップライト	ストリップライト
<s> `y_uw n_ax `v_er s_ax_l `t_ay_m </s>	ユニバーサルタイム	ユーナバーサルタイム
<s> k_ax `m_ae_n_d l_ax_t </s>	コマンドレット	カマンドレット
<s> ax `k_y_uw m_y_ax `l_ey t_er </s>	アキュムレータ	アキュミュレーター
<s> `ae_n `z_ae_k `b_ih s_k_ax_t </s>	アンザックビスケット	アンザックビスケット
<s> `n_ih `t_w_eh_r </s>	ニットウェア	ニフトウェア
<s> `s_k_ih_l_z `ih_n v_ax_n `t_ao r_iy `s_ih s_t_ax_m </s>	スキルインベントリーシステム	スキルインベントリシステム
<s> `s_iy `b_ah_k `th_ao_r_n </s>	シーバックソーン	シーバックソーン
<s> `p_ao_r sh_ax_n </s>	ポーション	ポシ
<s> `p_ae_n k_r_iy `ey t_ax_n </s>	パンクレアチン	パンクレアテン
<s> k_r_ax m_ax t_r_ax_n </s>	クロマトロン	クロマトロン
<s> `s_t_ey `k_ey sh_ax_n </s>	ステイケーション	ステーケーション
<s> `eh r_er `hh_ae_n_d l_ih_ng </s>	エラーハンドリング	エラーハンドリング
<s> `n_iy `aa l_ax `jh_ih z_ax_m </s>	ネオロジズム	ネオリジズム
<s> `jh_ah_m p_ih_ng `s_t_ih_l_t_s </s>	ジャンピングスティルト	ジャンピングスティルト
<s> m_ih `m_ow s_ax </s>	ミモザ	ミモサ
<s> `s_ey d_ax_s_t </s>	サディスト	サディスト
<s> `sh_er p_ax </s>	シェルパ	シャープ
<s> `l_ah k_iy `k_ah l_er </s>	ラッキーカラー	ラコカラー
<s> `g_r_ey_d </s>	グレード	グレード
<s> `s_ow sh_ax_l ih `k_aa l_ax jh_iy </s>	ソーシャルエコロジー	ソシャエコロジー
<s> `k_r_ay_s_t </s>	ハリストス	キリスト
<s> `d_ow l_er `ay_t </s>	ドレライト	ドラライト
<s> `hh_ay d_r_ow `s_ah_l `f_ay_t </s>	ハイドロサルファイト	ハイドロサルファイト
<s> `l_ah_v `b_er_d </s>	ラブバード	ラブバード
<s> `l_ao_r </s>	ロアー	ロアー
<s> `n_ay_l `g_r_iy_n </s>	ナイルグリーン	ナイルグリーン
<s> `w_ao t_er `f_ao_l </s>	ウォーターフォール	ウォーターフォール
<s> `s_ah_m th_ih_ng </s>	サムシング	エシング
<s> `ae l_ax `g_ao r_iy </s>	アレゴリー	アリゴリ
<s> `n_uw `f_ey_s </s>	ニューフェイス	ニューフェース
<s> s_ax `s_p_eh_n sh_ax_n </s>	サスペンション	シスペンション
<s> `aa_r m_ax s_t_ax_s </s>	アーミスティス	アーマスティス
<s> `hh_ae_n d_ax_l </s>	ハンドル	ハンドル
<s> `ow v_er `b_uh k_ih_ng </s>	オーバーブッキング	オーバーブッキング
<s> ih `l_eh_k t_r_ax `l_uw m_ax `n_eh s_ax_n_s </s>	エレクトロルミネセンス	エレクトロルミナセンス
<s> k_ax `n_ey d_iy ax_n `f_uh_t `b_ao_l </s>	カナディアンフットボール	カナディアンフットボール
<s> `s_eh k_ax_n `d_eh r_iy `s_ay_t </s>	セカンダリサイト	セコンディリサイト
<s> sh_ae_m `p_ey_n `s_ay d_er </s>	シャンペンサイダー	シャンパンサダー
<s> `m_ay k_r_ow `g_r_eh sh_ax_n </s>	マイクロアグレッション	マイクロアグレッション
<s> `k_uh k_iy `g_er_l </s>	クーキーガール	クーキーガール
<s> `ay `hh_uh_k </s>	アイフック	アイフック
<s> `y_uw n_ih `k_ow_d k_ax_n `s_ao_r sh_iy ax_m </s>	ユニコードコンソーシアム	ユーニコードコンソーシウム
<s> s_p_ax `g_eh t_iy `k_ow_d </s>	スパゲッティコード	スパゲッティコード
<s> b_uw `t_ae `d_iy_n </s>	ブタジエン	ブタジン
<s> `d_ey t_ax `s_ay ax_n t_ih_s_t </s>	データサイエンティスト	データシアティスト
<s> `sh_ao_r_t `p_ae_s </s>	ショートパス	ショートパス
<s> `ae_k_s </s>	アックス	アックス
<s> `ow v_er `t_aa_p </s>	オーバートップ	オーバートップ
<s> `s_ih z_er_z `k_ah_t </s>	シザーカット	シザースカット
<s> `r_ow_l `p_l_ey ih_ng `g_ey_m </s>	ロールプレイングゲーム	ロールプレーイングゲーム
<s> `f_r_ow z_ax_n </s>	フローズン	フローズン
<s> `ae r_ax_b </s>	アラブ	アラブ
<s> ih_n `jh_eh_k t_er </s>	インジェクター	インジェクター
<s> `n_ay_n_th </s>	ナインス	ナインス
<s> `d_uh r_iy ax_n </s>	ドリアン	ドリアン
<s> b_ow `hh_iy m_iy ax_n </s>	ボヘミアン	ボヘミアン
<s> `p_l_ae_z m_ax d_ih `s_p_l_ey </s>	プラズマディスプレイ	プラズマジスプレイ
<s> `k_ih l_er `ae_p </s>	キラーアプリ	キラーアプリ
<s> m_ax `ch_uh_r </s>	マチュア	マチュア
<s> `s_t_ae_n_d `ah_p `k_aa m_ax d_iy </s>	スタンダップコメディー	スタンドアップコマジ
<s> `aa t_ax </s>	エーティーエー	アト
<s> `s_ae_ng_k ch_uw `eh r_iy </s>	サンクチュアリ	サンクチュアリ
<s> `p_l_ey er </s>	プレイヤー	プレーヤー
<s> `eh_g `z_eh_k </s>	エグゼック	エッグゼック
<s> `k_r_iy_m `s_k_ih m_ih_ng </s>	クリームスキミング	クリームスキミング
<s> `aa s_t_ax `m_ey_t </s>	オストメイト	アスタメート
<s> `k_r_ow_m `g_r_iy_n </s>	クロムグリーン	クログリーン
<s> `ay ax_n `ch_ae n_ax_l </s>	イオンチャンネル	アイアンチャネル
<s> `l_ah_ng </s>	ルンゲ	ルンゲ
<s> `d_aa `d_aa </s>	ダダ	ドド
<s> `m_ae s_k_l_ax_s </s>	ノーマスク	マノースク
<s> `p_uh_t `aa_p sh_ax_n </s>	プットオプション	トオプション
<s> `b_ih_s_k </s>	ビスク	ビスク
<s> `k_ow ch_ih_ng </s>	コーチング	コチ
<s> n_ax k_r_ow `f_ow b_iy ax </s>	ネクロフォビア	ナクロフォビア
<s> m_aa_r `t_iy n_iy </s>	マティーニ	マティニ
<s> jh_ax `n_eh r_ih_k `b_r_ae_n_d </s>	ジェネリックブランド	ジナラクブランド
<s> `l_ih_f_t </s>	リフト	リフト
<s> `l_eh_z b_iy ax_n `f_eh m_ih `n_ih z_ax_m </s>	レスビアンフェミニズム	レズビアンフェミニズム
<s> `m_ih s_iy </s>	ミッシー	ミシ
<s> `r_eh_d `k_aa_r p_ax_t </s>	レッドカーペット	レッドカーペット
<s> `p_aw er `w_er_d </s>	パワーワード	パワーワード
<s> r_ax `g_aw_t </s>	ラグー	リグアウト
<s> `b_er_d </s>	バード	バード
<s> `l_ae v_ax `t_ao r_iy </s>	ラバトリー	ラビトリ
<s> `v_ow k_ax_l `m_y_uw z_ih_k </s>	ボーカルミュージック	ボーカルミュージック
<s> ih_n `d_ah s_t_r_iy ax_l </s>	インダストリアル	インダストリーアル
<s> `n_aa_n `v_er b_ax_l </s>	ノンバーバル	ノンバーバル
<s> m_ax `sh_iy_n `hh_eh_d </s>	マシンヘッド	マシンヘッド
<s> ay `b_eh r_ow ax `m_eh r_ih k_ax </s>	イベロアメリカ	アイベロアメリカ
<s> `b_r_aw z_er `k_r_ae sh_er </s>	ブラウザクラッシャー	ブラウザクラシャー
<s> `ow v_er `t_ay_m </s>	オーバータイム	オーバータイム
<s> `f_ao_l_s `s_t_aa_r_t </s>	フライングスタート	フラスタート
<s> `t_aa `r_ae `g_aa_n </s>	タラゴン	トラゴン
<s> `p_r_ow `t_eh `ow_s </s>	プロテオース	プロテオース
<s> `k_ow b_r_ax </s>	コブラ	コブラ
<s> `w_ao_l `s_er k_ax_t `b_r_ey k_er </s>	ウォールサーキットブレーカ	ウォールサーキットブレーカー
<s> `t_eh dh_er ih_ng </s>	テザリング	テザリング
<s> `p_aw_l s_er_d </s>	プルサール	プルサール
<s> `d_aa m_ax n_ax_n_t `s_eh v_ax_n_th </s>	ドミナントセブンス	ドミナントセブンス
<s> ax_n `b_r_ey k_ax b_ax_l </s>	アンブレイカブル	アンブレイカブル
<s> l_iy ax t_r_ih_s </s>	リアトリス	リアトリス
<s> d_ay `n_ae m_ih_k `s_p_iy k_er </s>	ダイナミックスピーカー	ダイナミックスピーカー
<s> `b_ay_m t_ax_l </s>	バイメタル	バイメタル
<s> `s_k_ay d_ay v_er </s>	スカイダイバー	スカイダイバー
<s> `m_eh th_ih `l_iy_n `b_l_uw </s>	メチレンブルー	メチレンブルー
<s> `s_ey_f `g_aa_r_d </s>	セーフガード	セーフガード
<s> `d_ih s_ax </s>	ダイサ	ディシ
<s> `y_uw n_ax `f_ay_d `m_eh s_ih jh_ih_ng </s>	ユニファイドメッセージング	ユーナファイドメシジ
<s> eh `s_ey </s>	エッセイ	エサ
<s> `k_aa m_ax_n </s>	コモン	コモン
<s> `p_r_eh p_iy </s>	プレッピー	プレア
<s> `d_ih_p_s </s>	ディップス	ディップス
<s> `f_r_eh_n_ch k_ax `n_ey d_iy ax_n </s>	フレンチカナディアン	フレンチカナディアン
<s> `l_uw v_r_ax </s>	ルーブル	ルブル
<s> `hh_ae_n_d </s>	ハンド	ハンド
<s> k_ax_n `s_t_aa_n t_ax_n </s>	コンスタンタン	コンスタンタン
<s> `ch_ih r_iy ow </s>	チェリオ	チリオ
<s> `ae_m `p_ih s_ih l_ih_n </s>	アンピシリン	アンピシリン
<s> `m_aa_r k_ax_t `m_eh k_ax `n_ih z_ax_m </s>	マーケットメカニズム	マーケットメカニズム
<s> `eh p_ax `d_eh m_ih_k </s>	エピデミック	エピデミック
<s> ih_k `s_p_eh r_ax m_ax_n_t </s>	エクスペリメント	エクスペリメント
<s> `p_r_ow t_ax `t_ay p_ih_ng </s>	プロトタイピング	プロトタイピング
<s> `er g_ax `n_aa m_ih_k </s>	エルゴノミク	アーガノミック
<s> `s_p_eh_l `aw_t </s>	スペルアウト	スペルアウト
<s> `b_l_uw `l_ay_t </s>	ブルーライト	ブルーライト
<s> k_r_ow `sh_ey </s>	クロッシェ	クロシ
<s> `hh_ae_ch_t `f_ih_sh </s>	ハチェットフィッシュ	ハチェットフィッシュ
<s> k_ax_m `p_y_uw t_er `g_ey_m `y_uw z_ih_ng `k_ae r_ih_k t_er_z `f_r_ah_m `m_ae_ng g_ax, `ae `n_iy_m, `eh_t `s_eh t_er ax </s>	キャラクターゲーム	コンピュータゲームユージングカラクターマンアトセルア
<s> t_eh g_uw s_iy `g_ae_l p_ax </s>	テグシガルパ	テグシガルパ
<s> `hh_ah_g </s>	ハグ	ハッグ
<s> `n_y_ae_d </s>	ナイアード	ナイアス
<s> `m_ao_l_t </s>	マルツ	モルト
<s> `r_ah n_ih_ng m_ax `sh_iy_n </s>	ランニングマシン	ラニングマシン
<s> `n_uw `s_p_iy_k </s>	ニュースピーク	ニュースピーク
<s> `hh_eh_r k_ax_n `d_ih sh_ax n_er </s>	ヘアコンディショナー	ヘアコンディショナー
<s> `d_ih k_iy </s>	ディッキー	ディケー
<s> r_ih `k_ah v_er </s>	リカバー	リカバー
<s> `hh_ih t_ih_ng </s>	ヒッティング	ハイティング
<s> `p_eh t_iy `n_ay_f </s>	ペティナイフ	パティナイフ
<s> `w_ih_s_k </s>	ホイッパー	ホイッパー
<s> `p_oy </s>	ポイ	ポイ
<s> `w_eh l_ih_ng t_ax_n `b_uw_t_s </s>	ウェリントンブーツ	アリングタンブーツ
<s> `hh_ae_f `w_ey `hh_aw_s </s>	ハーフウェーハウス	ハーフウェーハウス
<s> `v_ay r_ax_s </s>	ウイルス	バイルス
<s> `k_uh er k_y_ax m_ih_n </s>	クルクミン	クーワーキュミン
<s> `ih_n d_ih `p_eh_n d_ax_n_t </s>	インディペンデント	インディペンデント
<s> `ae_k t_ih_v `k_ae_sh </s>	アクティブキャッシュ	アクティブキャッシュ
<s> `w_eh_b ih_k `s_p_l_ao r_er </s>	ウェブエクスプローラ	ウェブエクスプローラ
<s> `k_w_ay_n `ae m_ax_n </s>	クイニーアマン	クイニーアマン
<s> `n_ae sh_ax n_ax_l `m_ih n_ax m_ax_m </s>	ナショナルミニマム	ナショナルミニマム
<s> `d_ih s_k_ow `s_aw_n_d </s>	ディスコサウンド	ディスコサウンド
<s> `s_p_ih r_ih ch_ax w_ax_l </s>	スピリチュアル	スピリチュアル
<s> `n_ah_m b_er d_ih `s_p_l_ey </s>	ナンバーディスプレー	ナンバージスプレイ
<s> b_ay l_ih n_iy_r `f_ih_l t_er ih_ng </s>	バイリニアフィルタリング	バイリニアフィルタリング
<s> p_ax `l_eh m_ih_k </s>	ポレミック	パラミック
<s> `n_aa_n `d_r_aa_p `f_r_ey_m `t_ay_m `k_ow_d </s>	ノンドロップフレームタイムコード	ノンドロップフレームタイムコード
<s> `w_ay er `l_ae_th </s>	ワイヤラス	ワイヤーラス
<s> `s_ih_k `s_p_l_ey_t `s_ao `t_ey_l </s>	シックスプレートソウテール	シックスプレートサウテール
<s> `ay_z </s>	アイズ	ライズ
<s> `hh_aa n_ax k_ax </s>	ハヌカ	ホニカ
<s> `p_ow_s_t `w_ao_r </s>	アプレゲール	ポストウォー
<s> `ow p_ax n_ih_ng `g_ey_m </s>	オープニングゲーム	オープニングゲーム
<s> `b_r_ah_sh `ah_p </s>	ブラッシュアップ	ブラシアップ
<s> `g_r_aw t_ih_ng </s>	グラウチング	グラウチング
<s> `k_ao_r p_er ax_t ay `d_eh_n t_ax t_iy </s>	コーポレートアイデンティティー	コーポレートアイデンティティー
<s> `y_eh l_ow `m_aa_ng g_uw_s </s>	キイロマングース	エロマングース
<s> `s_ao n_ax </s>	サウナ	ソーナー
<s> `b_aw_t </s>	バウト	バウト
<s> `m_eh s_ax_jh `eh r_iy ax </s>	メッセージエリア	メセージエリア
<s> `b_eh z_ax_l </s>	ベゼル	ベゼル
<s> `l_ow k_ax_l `b_ah_s `g_r_ae f_ih_k_s </s>	ローカルバスグラフィックス	ローカルバスグラフィックス
<s> `t_r_ae f_ih_k `p_ae d_ih_ng </s>	トラフィックパディング	トラヒックパディング
<s> `k_ow_d `p_oy_n_t </s>	コードポイント	コードポイント
<s> l_aa t_ax `f_ah_n d_iy ax_m </s>	ラティフンディウム	ラタファンデーウム
<s> `aa_r k_ax v_ih_s_t </s>	アーキビスト	アーキビスト
<s> `k_r_ih s_t_ax_l `f_r_uw_t </s>	クリスタルフルーツ	クリスタルフルーツ
<s> `b_r_iy_f `k_ey_s </s>	ブリーフケース	ブリーフケース
<s> `jh_iy ax `k_ae ch_ih_ng </s>	ジオキャッシング	イアカチング
<s> `k_ow_aa p_ax r_ax `t_ih_v `hh_aw_s </s>	コーポラティブハウス	コーポリティブハウス
<s> `r_eh `g_uh l_ax_s </s>	レグルス	レグルス
<s> `ae_k s_eh_n_t </s>	アクセント	アクサン
<s> `jh_ao_r d_ax_n </s>	ヨルダン	ジョーデン
<s> `d_ay `p_ow_l ae_n `t_eh n_ax </s>	ダイポールアンテナ	ダイポールアンテナ
<s> `eh s_k_ax `b_eh_k </s>	エスカベーシュ	エスカベーシュ
<s> `f_aa_n_t `s_ay_z </s>	フォントサイズ	フォントサイズ
<s> `p_ih_ng_k `l_ey d_iy </s>	ピンクレディー	ピンクレーディ
<s> `m_ae t_er </s>	マター	マタ
<s> `n_iy_d </s>	ニード	ニード
<s> `k_aa_r b_iy n_ao_l </s>	カルビノール	カービテルテテ
