no-hit no-run game	ノーヒットノーランゲーム
news-spool	ニューススプール
abuse	アビュース
people	ピープル
empowerment	エンパワーメント
yellow tang	キイロハギ
knockout	ノックアウト
Cortez angelfish	コルテツエンジェルフィッシュ
Homo economicus	ホモエコノミクス
high-rise apartment building	タワマン
pion	パイオン
scallop	スカラップ
crinoline	クリノリン
costume	コスチューム
supply chain	サプライチェーン
101 Keyboard	イチマルイチキーボード
curler	カーラー
solvency margin	ソルベンシーマージン
attraction	アトラク
motor bicycle	モーターバイシクル
spiker	スパイカー
Swiss roll	ロールケーキ
imbalance	インバランス
dress shirt	ドレスシャツ
national convention	ナショナルコンベンション
draft beer	ドラフトビール
bulky	バルキー
large hill	ラージヒル
fire salamander	ファイアーサラマンダー
oral method	オーラルメソッド
contention	コンテンション
HPFS	エイチピーエフエス
postscript	ポストスクリプト
shotgun bride	ショットガンブライド
flat-headed kusimanse	ベニンクシマンセ
middle school	ミドルスクール
road sweeper	ロードスイーパー
half-nelson	ハーフネルソン
scuba diver	スクーバダイバー
arcade controller	アケコン
lead guitar	リードギター
God	デウス
open network	オープンネットワーク
playground zipline	ターザンロープ
core router	コアルータ
hairbrush	ヘアブラシ
botrytis	ボトリチス
ice skating	アイススケート
hybridoma	ハイブリードマ
process color	プロセスカラー
physical distance	フィジカルディスタンス
video streaming	ビデオストリーミング
silver wedding	シルバーウェディング
round	ラウンド
system area	システムエリア
Caucasoid	コーカソイド
concert	コンサート
financial literacy	マネーリテラシー
hoodlum	チンピラ
MILNET	ミルネット
eWorld	イーワールド
waqf	ワクフ
long stay	ロングステイ
inventory cycles	インベントリーサイクル
puzzle	パズル
January	ジャニュアリー
golf swing	ゴルフスウィング
ring book	リングブック
dairy	ミルクプラント
turf	ターフ
fallout	フォールアウト
Satan	サタン
gallery	ギャラリー
hard-core porno	ハードコアポルノ
Nessie	ネッシー
cross	クロス
free weights	フリーウエイト
shuttlecock	シャトル
parse	パーズ
tractor feed	トラクタフィード
lancet	ランセット
shaving	シェービング
playback	プレイバック
scrapie	スクレイピー
vector potential	ベクトルポテンシャル
tactics	タクティックス
mailbox	メイルボックス
online package	オンラインパッケージ
kofte	キョフテ
Afele's fringefin goby	シマミドリハゼ
climograph	クライモグラフ
fin swimming	フィンスイミング
on-trade	オントレード
studio apartment	ワンルームアパート
run	ラン
power supply	パワーサプライ
goat cheese	ゴートチーズ
coronagraph	コロナグラフ
isoflavone	イソフラボン
witch hazel	ウィッチヘーゼル
ignition key	イグニッションキー
cleek	クリーク
crepe shirt	クレープシャツ
NewsAgent	ニュースエージェント
agriculture	アグリカルチャー
hashed beef	ハッシュドビーフ
bawm bawm	バムバム
bistro	ビストロ
dinghy	ディンギー
reed organ	リードオルガン
castrato	カストラート
brothers	ブラザーズ
splash	チャップン
pipe wrench	パイプレンチ
Burrunan dolphin	ブルナンイルカ
occidental	オクシデンタル
rosette	ローゼット
used women's clothing store	ブルセラショップ
Croatia	クロアチア
nanobiology	ナノバイオ
Pacific League	パリーグ
table football	テーブルサッカー
Wotan	ヴォータン
oxonium ion	オキソニウムイオン
DIP switch	ディップスイッチ
subcontractor	サブコン
cobra twist	コブラツイスト
scale-out	スケールアウト
conglomerate	コングロマリット
Rh	アールエイチ
call number	コールナンバー
rubber duck	ラバーダック
resampling	リサンプリング
spacer	スペーサー
baton twirler	バトントワラー
Dacrotized	ダクロ
mood music	ムードミュージック
acoustic	アコースティック
chair	チェア
sadomasochism	サドマゾヒズム
passive house	パッシブハウス
scapegoat	スケープゴート
Doha	ドーハ
low-fat	ローファット
endocytosis	エンドサイトーシス
bikepacking	バイクパッキング
commuter pass container	パスケース
punctual	パンクチュアル
ice hockey	アイホ
bartender	バーテンダー
Bermuda shorts	バミューダパンツ
second player	ナカ
green architecture	グリーンアーキテクチャー
beach volleyball	ビーチバレー
kopeck	コペック
drawers	ズロース
ring tennis	リングテニス
dip	ディップ
KIOSK mode	キオスクモード
overheating	オーバーヒート
commercial message	コマーシャルメッセージ
disposable	ディスポーザブル
scarlet	スカーレット
milk	ミルク
fried potato	ポテトフライ
asbestos cement	アスベストセメント
Pinot blanc	ピノブラン
underplot	アンダープロット
single bed	シングルベッド
scrumper	スクランパー
Machiavellism	マキャベリズム
inaw	イナウ
nonchalant	ノンシャラン
arbitrary	アービトラリ
Fiano	フィアーノ
jerrycan	ジェリカン
buzz	バズ
pulse	パルス
overhand throw	オーバーハンドスロー
factorial	ファクトリアル
local disk	ローカルディスク
discount sale	ディスカウントセール
heartwarming	ハートウォーミング
rivet	リベット
tubulin	チューブリン
typhoon	タイフーン
thread title	スレッドタイトル
nylons	ナイロンストッキング
tuberose	チューベローズ
Mauser	モーゼル
solid tire	ソリッドタイヤ
white meat	ホワイトミート
Coxiella burnetii	コクシエラバーネッティ
vacuum column	バキュームカラム
roguelike	ローグライク
Malabo	マラボ
someone who is open about their obsession with anime, manga, etc.	オープンオタク
mycobacteria	マイコバクテリア
Cheshire cheese	チェシャーチーズ
mage	メイジ
patrolman	パトロールマン
center forward	センターフォワード
largo	ラルゴ
thesis	テーゼ
homes	ホームズ
lutein	ルテイン
splitter	スプリッター
Barcelona	バルセロナ
outdoors	アウトドアズ
pharmacy	ファーマシー
tunnel tent	カマボコテント
reflection	リフレクション
cost inflation	コストインフレーション
hub ring	ハブリング
Fast Ethernet	ファストイーサネット
rusk	ラスク
focal plane	フォーカルプレーン
quick pace	ハイペース
netiquette	ネチケット
atherectomy	アテレクトミー
graphical user interface	グラフィカルユーザインタフェース
Scotch whisky	スコッチウイスキー
deflationary gap	デフレギャップ
mincemeat	ミンスミート
invalid	インバリッド
instant camera	インスタントカメラ
helicoid	ヘリコイド
mille crêpes	ミルクレープ
chemist	ケミスト
money	マネー
druid	ドルイド
personal digital assistant	パーソナルデジタルアシスタント
African-American music	ブラックミュージック
to unbundle	アンバンドル
Titans	タイタン
notepad	ノートパッド
sublation	アウフヘーベン
rough	ザラザラ
resin	レジン
access mode	アクセスモード
Hurricane Katrina	ハリケーンカトリーナ
boulder	ボルダー
yamanba	ヤマンバ
better	ベター
giant corn	ジャイアントコーン
chuckle	ウフッ
patch file	パッチファイル
not counted	ノーカウント
focus	フォーカス
2008 financial crisis	リーマンショック
mall	モール
wage	ウェイジ
master page	マスターページ
woman with a diagonal strap between her breasts	パイスラ
in-line code	インラインコード
cabinet monitoring controller	キャビネットモニタコントローラ
baroness	バロネス
Virgin Mary	サンタマリア
hold time	ホールドタイム
